method,seed,requested_seconds,recorded_steps,final_sim_time,total_reward,mean_system_total_waiting_time,max_system_total_waiting_time,mean_system_mean_waiting_time,max_system_mean_waiting_time,mean_system_total_stopped,max_system_total_stopped,mean_system_mean_speed,max_system_mean_speed,final_system_total_departed,final_system_total_arrived,final_system_total_teleported,throughput_veh_per_hour,scenario
dqn_v1,301,3600,721,3600.0,-55.559999999999995,740.375866851595,4617.0,10.997669989130998,47.597938144329895,30.650485436893202,77.0,4.508853239126921,13.214543024423769,2092.0,1997.0,0.0,1997.0,burst
dqn_v1,302,3600,721,3600.0,-59.660000000000004,766.0679611650486,4282.0,11.493571882099637,50.3728813559322,31.123439667128988,79.0,4.5051531742002915,13.4033619826737,2094.0,1999.0,0.0,1999.0,burst
dqn_v1,303,3600,721,3600.0,-67.84999999999998,732.122052704577,4497.0,10.784444201546886,45.655913978494624,30.997226074895977,79.0,4.478385944940782,13.897835115189965,2094.0,1994.0,0.0,1994.0,burst
dqn_v1,304,3600,721,3600.0,-60.02,734.5284327323162,3588.0,11.125507050785949,43.898305084745765,31.464632454923716,78.0,4.440795627582649,13.354256234344644,2102.0,2003.0,0.0,2003.0000000000002,burst
dqn_v1,305,3600,721,3600.0,-53.67999999999998,724.1456310679612,4180.0,11.141738212429269,46.96629213483146,30.65880721220527,80.0,4.492275300894056,13.52129967138377,2113.0,2015.0,0.0,2015.0,burst
dqn_v1,301,3600,721,3600.0,-0.7499999999999951,106.85991678224688,500.0,4.450865310185114,19.38095238095238,6.828016643550624,17.0,7.205649993175999,13.214543024423769,2080.0,2062.0,0.0,2062.0,direction_switch
dqn_v1,302,3600,721,3600.0,-0.8899999999999972,99.72260748959778,364.0,4.147295759544564,16.476190476190474,6.7447988904299585,17.0,7.235218194278733,13.391918683026896,2080.0,2061.0,0.0,2061.0,direction_switch
dqn_v1,303,3600,721,3600.0,-0.9099999999999977,101.57975034674064,434.0,4.281051950076048,17.45,6.618585298196948,17.0,7.292663464372877,12.179271272940523,2080.0,2064.0,0.0,2064.0,direction_switch
dqn_v1,304,3600,721,3600.0,-1.2099999999999953,98.44521497919555,467.0,4.172167688061158,17.869565217391305,6.5256588072122055,17.0,7.317492749038973,12.095564574457455,2080.0,2062.0,0.0,2062.0,direction_switch
dqn_v1,305,3600,721,3600.0,-0.6999999999999966,102.45769764216367,441.0,4.2502206812151595,18.375,6.955617198335645,18.0,7.151326021281667,12.461847952132594,2080.0,2066.0,0.0,2066.0,direction_switch
dqn_v1,301,3600,721,3600.0,-0.8899999999999932,76.93203883495146,216.0,3.3302601174299684,10.0,6.398058252427185,13.0,7.3249338451396495,13.214543024423769,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
dqn_v1,302,3600,721,3600.0,-1.0999999999999934,77.00832177531207,196.0,3.2891997618128883,9.3,6.4743411927877945,14.0,7.275447213272874,13.391918683026896,2056.0,2042.0,0.0,2041.9999999999998,unseen_mixed
dqn_v1,303,3600,721,3600.0,-0.8899999999999948,76.56588072122052,295.0,3.291683823422564,12.826086956521738,6.509015256588072,15.0,7.304981549475564,12.179271272940523,2056.0,2038.0,0.0,2038.0,unseen_mixed
dqn_v1,304,3600,721,3600.0,-0.8399999999999931,77.43411927877948,244.0,3.3482333987904584,9.384615384615383,6.452149791955617,15.0,7.3290717717810985,12.095564574457455,2056.0,2041.0,0.0,2041.0,unseen_mixed
dqn_v1,305,3600,721,3600.0,-1.5899999999999959,78.99583911234397,256.0,3.381991308650656,11.130434782608695,6.5769764216366156,15.0,7.289265851769282,12.461847952132594,2056.0,2034.0,0.0,2033.9999999999998,unseen_mixed
dqn_v2,301,3600,721,3600.0,-250.47150634468176,472.42024965325936,2254.0,8.585330063870623,37.16666666666666,26.63384188626907,61.0,4.292773757283623,14.066049212219538,2041.0,1956.0,0.0,1956.0,burst
dqn_v2,302,3600,721,3600.0,-243.1756821046685,475.54368932038835,2156.0,8.584713438664771,38.38,26.48127600554785,59.0,4.384472354423443,14.320449857929322,2050.0,1963.0,0.0,1963.0,burst
dqn_v2,303,3600,721,3600.0,-259.9465867071283,474.8141470180305,2010.0,8.555916876532235,42.34285714285714,26.876560332871012,60.0,4.309220658463529,14.135910517000909,2037.0,1954.0,0.0,1954.0,burst
dqn_v2,304,3600,721,3600.0,-240.1758888402869,447.1719833564494,1591.0,8.328232797451227,35.833333333333336,25.937586685159502,62.0,4.398723672998933,13.992559401535894,2046.0,1958.0,0.0,1958.0,burst
dqn_v2,305,3600,721,3600.0,-252.7697479899216,489.99583911234396,2354.0,8.543792139632577,36.333333333333336,27.43134535367545,60.0,4.296879693601458,14.188568195596789,2050.0,1964.0,0.0,1964.0,burst
dqn_v2,301,3600,721,3600.0,-45.01905193328088,80.39251040221914,265.0,3.3359812544080145,10.0,6.658807212205271,20.0,7.130223027398348,13.214543024423769,2080.0,2061.0,0.0,2061.0,direction_switch
dqn_v2,302,3600,721,3600.0,-47.4525756267883,90.0124826629681,649.0,3.5736060687963174,13.808510638297872,6.950069348127601,24.0,7.103522025649176,13.391918683026896,2080.0,2066.0,0.0,2066.0,direction_switch
dqn_v2,303,3600,721,3600.0,-46.83734132590005,86.96393897364771,622.0,3.4597537355545245,17.939393939393938,6.858529819694868,19.0,7.14156665681004,12.179271272940523,2080.0,2065.0,0.0,2065.0,direction_switch
dqn_v2,304,3600,721,3600.0,-48.95291638852265,83.57558945908461,361.0,3.2887864403261737,10.8,7.041608876560333,24.0,6.916987953706711,12.095564574457455,2080.0,2062.0,0.0,2062.0,direction_switch
dqn_v2,305,3600,721,3600.0,-52.50101877659115,94.48543689320388,636.0,3.4983053390593066,11.409090909090908,7.5256588072122055,28.0,6.895888327988512,12.461847952132594,2080.0,2063.0,0.0,2063.0,direction_switch
dqn_v2,301,3600,721,3600.0,-41.59957497385528,74.99583911234397,190.0,3.334931413667868,9.72222222222222,6.123439667128988,15.0,7.504880576195355,13.214543024423769,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
dqn_v2,302,3600,721,3600.0,-41.26746084382349,71.92371705963939,186.0,3.2064240316410504,9.3,6.072122052704577,15.0,7.5169336374618725,13.391918683026896,2056.0,2035.0,0.0,2035.0,unseen_mixed
dqn_v2,303,3600,721,3600.0,-41.31195747843237,72.50901525658807,185.0,3.2558716489542947,8.578947368421053,6.056865464632455,14.0,7.55758156004223,12.179271272940523,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
dqn_v2,304,3600,721,3600.0,-39.83692325165174,71.68238557558946,187.0,3.2747610838659025,8.55,5.8613037447988905,14.0,7.660613594364645,12.095564574457455,2056.0,2036.0,0.0,2036.0000000000002,unseen_mixed
dqn_v2,305,3600,721,3600.0,-42.36146441233093,77.73925104022192,223.0,3.435786453129729,9.75,6.221914008321775,15.0,7.51635679505416,12.461847952132594,2056.0,2038.0,0.0,2038.0,unseen_mixed
fixed,301,3600,721,3600.0,-227.25,1609.4077669902913,3596.0,19.554641720649844,42.018181818181816,50.00832177531207,97.0,3.227863388087469,13.214543024423769,2187.0,2071.0,0.0,2071.0,burst
fixed,302,3600,721,3600.0,-214.82999999999998,1583.9042995839113,3535.0,19.458326823125333,42.23728813559322,49.320388349514566,96.0,3.2665358165273486,13.391918683026896,2196.0,2078.0,0.0,2078.0,burst
fixed,303,3600,721,3600.0,-205.97999999999996,1556.8072122052704,3522.0,19.414392071599117,43.91228070175438,48.74618585298197,97.0,3.2644587554080085,12.179271272940523,2200.0,2084.0,0.0,2084.0,burst
fixed,304,3600,721,3600.0,-212.92,1650.3203883495146,3583.0,19.701106530607422,42.3134328358209,51.19001386962552,97.0,3.1676470725799266,12.095564574457455,2187.0,2067.0,0.0,2067.0,burst
fixed,305,3600,721,3600.0,-208.77,1619.4785020804438,3502.0,19.636269314421416,41.78688524590164,50.25381414701803,95.0,3.2256926836875777,12.461847952132594,2194.0,2080.0,0.0,2080.0,burst
fixed,301,3600,721,3600.0,-151.62,1301.515950069348,3155.0,19.639081094802595,42.16393442622951,40.89320388349515,79.0,3.196241398599396,13.214543024423769,2072.0,1997.0,0.0,1997.0,direction_switch
fixed,302,3600,721,3600.0,-122.85,1178.3814147018031,3027.0,19.102124574078697,44.98245614035088,37.45908460471567,72.0,3.3562688197554422,13.391918683026896,2067.0,2002.0,0.0,2002.0,direction_switch
fixed,303,3600,721,3600.0,-150.24,1269.4077669902913,3117.0,19.502109706598084,42.71666666666667,39.88904299583911,80.0,3.2670660715822066,12.179271272940523,2063.0,1989.0,0.0,1989.0,direction_switch
fixed,304,3600,721,3600.0,-168.65,1411.3606102635229,3324.0,20.412979453938494,45.77192982456141,43.875173370319004,85.0,3.020228156254118,12.095564574457455,2070.0,1990.0,0.0,1990.0000000000002,direction_switch
fixed,305,3600,721,3600.0,-139.25,1243.754507628294,3155.0,19.25167902870342,43.75862068965517,39.2995839112344,79.0,3.308653751648715,12.461847952132594,2063.0,1994.0,0.0,1994.0,direction_switch
fixed,301,3600,721,3600.0,-98.69,1033.3259361997227,2586.0,19.18196900115504,48.0188679245283,33.29680998613038,56.0,3.34029437587781,13.214543024423769,2015.0,1957.0,0.0,1957.0000000000002,unseen_mixed
fixed,302,3600,721,3600.0,-100.97,1052.3328710124827,2638.0,19.37387401891851,47.87037037037037,33.84049930651872,56.0,3.2965834472096733,13.391918683026896,2017.0,1960.0,0.0,1959.9999999999998,unseen_mixed
fixed,303,3600,721,3600.0,-92.15999999999998,1058.8335644937586,2631.0,19.42384218492786,47.35849056603774,33.98890429958391,56.0,3.287684244697318,12.179271272940523,2016.0,1958.0,0.0,1958.0,unseen_mixed
fixed,304,3600,721,3600.0,-106.38,1093.9223300970873,2585.0,19.86852904419962,47.46296296296296,34.82108183079057,56.0,3.2024558215641385,12.095564574457455,2003.0,1945.0,0.0,1944.9999999999998,unseen_mixed
fixed,305,3600,721,3600.0,-94.55,1053.8169209431346,2559.0,19.33719613107192,47.14814814814815,33.995839112343965,56.0,3.2878232014914337,12.461847952132594,2020.0,1962.0,0.0,1962.0000000000002,unseen_mixed
